S1;;;;;;WTC1f11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;takt;1;2;3;4;5;6;7;8;9;10;;;11;;;12;;;;;13;;;;;14;;;;;;15;;;;;;16;;;;;;17;18;;;;19;20;;;;;;21;22;;23;24;25;26;;;27;;;28;;;;;29;;;;;30;;;;;;31;32;;;33;;34;;;35;;36;;;37;41;42;;;43;;;;;44;;;;;45;;;;46;;;;47;;48;;;49;;;;;50;;;;;;51;;;52;;;53;;;54;;;55;;;56;;;;57;;;58;;;59;;;60;61;;;;;62;;;;;;63;;;;;;64;;65;;;66;;67;;68;;69;;;70;;;71;;;72;;;73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;pitch p;0;0;0;0;0;0;0;0;0;0;0;48;50;48;46;48;40;41;43;45;46;48;46;45;43;45;43;41;43;45;46;48;47;45;47;48;50;52;55;53;52;50;48;47;48;50;52;53;58;57;60;58;57;55;53;52;53;0;0;0;0;0;0;60;62;60;58;60;52;53;55;57;58;60;58;57;55;57;60;58;57;55;53;52;53;55;57;50;0;52;53;55;49;61;62;60;58;57;57;58;57;55;57;49;50;52;53;55;57;55;53;52;53;55;53;52;50;55;57;45;38;50;51;50;48;50;42;43;45;46;48;46;50;48;46;45;46;0;0;54;0;0;55;0;0;51;0;0;50;0;0;0;48;50;50;43;45;46;48;50;52;53;55;57;58;55;60;58;57;55;53;48;53;51;50;48;46;48;46;45;43;41;40;0;41;43;45;46;0;45;0;43;0;41;43;45;46;48;50;52;48;53;46;48;36;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;interval ?p;0;0;0;0;0;0;0;0;0;0;0;0;2;-2;-2;2;-6;2;2;2;2;2;-2;-2;-2;2;-2;-2;2;2;2;2;-2;-2;2;2;2;2;3;-2;-2;-2;-2;-2;2;2;2;2;4;-2;3;-2;-2;-2;-2;-2;2;0;0;0;0;0;0;5;2;-2;-2;2;-6;2;2;2;2;2;-2;-2;-2;2;3;-2;-2;-2;-2;-2;2;2;2;-5;0;2;2;2;-5;8;2;-2;-2;-2;1;2;-2;-2;2;-6;2;2;2;2;2;-2;-2;-2;2;2;-2;-2;-2;4;2;-8;-5;8;2;-2;-2;2;-6;2;2;2;2;-2;3;-2;-2;-2;2;0;0;5;0;0;2;0;0;-3;0;0;-2;0;0;0;-2;2;1;-5;2;2;2;2;2;2;2;2;2;-3;4;-2;-2;-2;-2;-4;4;-2;-2;-2;-2;2;-2;-2;-2;-2;-2;0;2;2;2;2;0;-2;0;-2;0;-2;2;2;2;2;2;2;-3;4;-5;2;-8;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;onset o;0;2;8;14;20;26;32;38;44;50;52;54;56;58;60;62;64;65;66;67;68;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;98;100;101;102;104;110;111;112;113;114;115;116;122;126;128;134;140;146;148;150;152;154;156;158;160;161;162;163;164;166;167;168;169;170;171;172;173;174;175;176;182;184;186;188;192;194;196;198;200;204;206;208;210;212;240;242;244;246;248;250;251;252;253;254;256;257;258;259;260;263;264;265;266;267;268;270;272;276;278;280;282;284;286;287;288;289;290;291;292;293;294;295;296;298;300;302;304;306;308;310;312;314;316;318;320;322;324;326;327;328;330;332;334;336;338;340;342;344;346;348;350;357;358;359;360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;378;380;382;384;386;390;392;396;398;402;404;406;408;410;412;414;416;418;420;422;424;426;428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;duration d;2;6;6;6;6;6;6;6;6;2;2;2;2;2;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;2;1;1;2;6;1;1;1;1;1;1;6;4;2;6;6;6;2;2;2;2;2;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;6;2;2;2;4;2;2;2;2;4;2;2;2;2;28;2;2;2;2;2;1;1;1;1;2;1;1;1;1;3;1;1;1;1;1;2;2;4;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;2;2;2;2;4;2;4;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;takt;1;2;;;3;;;;;4;;;;;5;;;;;;6;;;;;;7;;;;;;8;9;;;10;;;;;;11;;12;;;13;14;15;;16;;17;;;;;18;;;;19;;;;;;20;;;21;22;;;23;;;24;;;;;25;;;;;26;;;;;;27;;28;;;29;;;30;;;;;31;;;;;32;33;;;;34;35;;;;36;;;;;;37;;;;;;38;;;;;;39;;;40;;;41;;;;;42;;;;;43;;44;45;;;;;46;;;47;;48;49;;;50;;;51;;;;;52;;;;;;53;;;;;;54;;;55;;;;;;56;;;57;;;;;;58;59;;;;;;60;61;;;62;;;63;64;;;;;65;66;;67;;;;;68;;;;;69;70;71;;72;73;;;;;;;;;;;;;;;;;;;;;;
;pitch p;60;62;60;58;60;52;53;55;57;58;60;58;57;55;57;55;53;55;57;58;60;58;57;58;60;62;64;67;65;64;62;60;59;60;58;57;58;57;55;57;58;60;57;62;64;67;60;60;65;64;69;67;72;72;71;69;67;65;64;70;69;67;65;64;62;64;65;67;69;0;0;0;0;0;65;69;67;65;67;59;60;62;64;65;67;65;64;62;64;62;60;62;64;60;65;0;0;0;72;74;72;70;72;64;65;67;69;70;72;70;69;67;69;70;69;67;65;67;69;67;65;64;65;64;65;67;69;67;69;70;69;67;65;64;62;61;62;65;64;62;61;0;69;70;69;67;69;61;62;64;65;67;69;67;65;64;65;0;61;57;59;61;62;64;65;64;61;62;0;0;0;0;62;63;62;60;62;54;55;57;58;60;58;62;60;58;57;58;62;60;58;57;55;54;0;0;55;57;58;60;62;57;58;55;54;55;62;67;65;64;62;64;0;60;65;63;62;60;62;60;62;64;65;67;69;70;67;72;70;69;67;69;50;55;53;58;57;55;53;55;46;48;50;52;53;58;64;65;64;65;;;;;;;;;;;;;;;;;;;;;;
;interval ?p;0;2;-2;-2;2;-6;2;2;2;2;2;-2;-2;-2;2;-2;-2;2;2;2;2;-2;-2;2;2;2;2;3;-2;-2;-2;-2;-2;2;-2;-2;2;-2;-2;2;2;2;-3;4;2;3;-5;1;4;-2;4;-2;4;1;-2;-2;-2;-2;-2;5;-2;-2;-2;-2;-2;2;2;2;2;0;0;0;0;0;-3;3;-2;-2;2;-6;2;2;2;2;2;-2;-2;-2;2;-2;-2;2;2;-3;4;0;0;0;5;2;-2;-2;2;-6;2;2;2;2;2;-2;-2;-2;2;2;-2;-2;-2;2;2;-2;-2;-2;2;-2;2;2;2;-2;2;2;-2;-2;-2;-2;-2;-2;2;3;-2;-2;-2;0;6;2;-2;-2;2;-6;2;2;2;2;2;-2;-2;-2;2;0;-4;-3;2;2;2;2;2;-2;-3;2;0;0;0;0;1;2;-2;-2;2;-6;2;2;2;2;-2;3;-2;-2;-2;2;3;-2;-2;-2;-2;-2;0;0;2;2;2;2;2;-4;2;-3;-2;2;5;4;-2;-2;-2;2;0;-3;4;-2;-2;-2;2;-2;2;2;2;2;2;2;-3;4;-2;-2;-2;2;-12;4;-2;4;-2;-2;-2;2;-6;2;2;2;2;4;4;2;-2;2;;;;;;;;;;;;;;;;;;;;;;
;onset o;0;2;4;6;8;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;44;46;48;50;51;52;53;54;55;56;60;62;64;66;68;78;80;84;86;90;93;94;95;96;97;98;101;102;103;104;105;106;107;108;109;110;112;114;116;122;124;126;128;130;132;134;136;137;138;139;140;142;143;144;145;146;147;148;149;150;151;152;156;158;160;162;164;166;168;170;172;173;174;175;176;178;179;180;181;182;190;191;192;193;194;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;226;228;230;232;234;236;238;239;240;241;242;244;245;246;247;248;252;254;261;262;263;264;265;266;267;268;272;276;278;284;286;288;290;292;294;296;298;299;300;301;302;303;304;305;306;307;308;309;310;311;312;313;314;316;318;320;321;322;323;324;325;326;328;330;332;333;334;335;336;337;338;344;345;346;347;348;349;350;356;358;360;362;364;366;368;375;376;377;378;379;380;388;390;393;394;395;396;397;398;400;401;402;403;404;414;418;420;424;428;;;;;;;;;;;;;;;;;;;;;;
;duration d;2;2;2;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;2;2;2;1;1;1;1;1;1;4;2;2;2;2;10;2;4;2;4;3;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;2;2;2;6;2;2;2;2;2;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;4;2;2;2;2;2;2;2;2;1;1;1;1;2;1;1;1;1;8;1;1;1;1;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;2;1;1;1;1;4;2;7;1;1;1;1;1;1;1;4;4;2;6;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;6;1;1;1;1;1;1;6;2;2;2;2;2;2;7;1;1;1;1;1;8;2;3;1;1;1;1;1;2;1;1;1;1;10;4;2;4;4;4;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
