S1;;;;;;WTC1f13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;takt;1;2;3;4;5;;;;;;;;;;6;;;;;;;7;;;;;;;;;;;;8;;;;;;;;;;9;;;;;;;;;;;;;;;;10;;;;;;;;;;;;11;;;;;;;;12;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;16;;;;;;;;;;;;;17;;;;;;;;18;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;20;;;;;;;;;;21;;;;;;;22;;;;;;;;23;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;26;;;;;;;;27;;;;;;;;28;;;;;;;;;;;;29;30;;;;;;;;;;;;;;;31;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;33;;;;;;;;;34;;;;;;;;;;;;35
;pitch p;0;0;0;0;0;49;54;53;54;53;51;49;47;49;51;0;49;47;46;44;49;42;54;53;49;54;58;58;54;51;54;54;51;48;49;54;56;60;56;53;56;56;53;50;58;58;54;51;54;54;51;48;56;56;53;49;53;53;49;46;49;49;46;42;54;53;51;49;51;53;49;46;48;49;46;42;44;37;0;0;54;56;58;54;54;58;59;54;54;59;61;54;54;61;63;54;54;63;65;54;54;65;66;65;63;61;59;68;68;59;58;66;66;58;56;65;65;56;54;56;54;53;51;53;54;51;56;58;56;54;53;54;56;53;58;60;61;60;58;56;54;56;58;53;54;56;58;54;51;53;54;56;44;49;61;60;56;61;58;57;53;58;61;61;58;54;58;58;54;51;59;59;56;53;56;56;53;50;58;58;54;51;54;54;51;47;51;51;47;44;47;47;44;46;46;51;50;51;49;47;46;44;46;47;0;46;44;42;41;46;39;42;44;53;54;56;58;46;51;58;58;54;51;54;54;51;44;63;63;59;56;59;59;56;53;56;56;53;49;53;53;49;42;61;61;58;54;58;58;54;51;54;54;51;47;51;51;47;49;37;0;61;59;61;54;59;58;59;53;58;56;58;51;56;54;56;49;54;53;54;58;58;54;51;54;54;51;47;0;0;59;59;58;56;54;52;61;61;52;51;59;59;51;49;58;58;49;47;49;47;46;44;46;47;44;49;51;49;47;46;47;49;46;51;53;54;53;51;49;47;49;51;46;47;49;51;47;44;46;47;49;37;42;54;53;49;54;58;58;54;51;54;54;51;47;44;49;37;42
;interval ?p;0;0;0;0;0;0;4;-2;2;-2;-2;-2;-2;2;2;0;-2;-2;-2;-2;4;-5;8;-2;-3;4;3;1;-3;-3;3;1;-3;-3;2;4;2;3;-3;-3;3;1;-3;-3;6;1;-3;-3;3;1;-3;-3;6;1;-3;-3;3;1;-3;-3;3;1;-3;-3;8;-2;-2;-2;2;2;-3;-3;2;2;-3;-3;2;-5;0;0;11;2;2;-3;1;3;2;-4;1;4;2;-5;1;5;2;-6;1;6;2;-7;1;7;2;-2;-2;-2;-2;6;1;-6;-2;6;1;-6;-2;6;1;-6;-2;2;-2;-2;-2;2;2;-3;4;2;-2;-2;-2;2;2;-3;4;2;2;-2;-2;-2;-2;2;2;-4;2;2;2;-3;-3;2;2;2;-8;4;8;-2;-3;4;-3;-2;-3;4;3;1;-3;-3;3;1;-3;-3;6;1;-3;-3;3;1;-3;-3;6;1;-3;-3;3;1;-3;-3;3;1;-3;-3;3;1;-3;2;1;4;-2;2;-2;-2;-2;-2;2;2;0;-2;-2;-2;-2;4;-5;3;2;6;2;2;2;-8;4;5;1;-3;-3;3;1;-3;-5;12;1;-3;-3;3;1;-3;-3;3;1;-3;-3;3;1;-3;-5;12;1;-3;-3;3;1;-3;-3;3;1;-3;-3;3;1;-3;2;-8;0;15;-2;2;-5;4;-2;2;-5;4;-2;2;-5;4;-2;2;-5;4;-2;2;3;1;-3;-3;3;1;-3;-3;0;0;8;1;-2;-2;-2;-2;6;1;-6;-2;6;1;-6;-2;6;1;-6;-2;2;-2;-2;-2;2;2;-3;4;2;-2;-2;-2;2;2;-3;4;2;2;-2;-2;-2;-2;2;2;-4;2;2;2;-3;-3;2;2;2;-8;4;8;-2;-3;4;3;1;-3;-3;3;1;-3;-3;-3;4;-8;4
;onset o;0;16;32;48;64;66;68;70;72;74;75;76;79;79,5;80;84;86;88;90;92;94;96;98;100;102;104;105;106;107;108;109;110;111;112;114;116;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;150;154;155;156;157;158;159;160;161;162;163;164;166;168;172;176;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;237;238;239;240;241;242;243;244;245;246;247;248;250;251;252;254;256;258;260;262;264;266;268;270;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;306;308;310;312;314;315;316;319;319,5;320;324;326;328;330;332;334;336;338;340;345;346;347;348;350;352;353;354;355;356;357;358;359;360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;376;377;378;379;380;381;382;383;384;385;386;387;388;389;390;391;392;394;396;398;399;400;402;404;406;408;410;412;414;416;418;420;422;424;426;428;430;432;433;434;435;436;437;438;439;440;442;444;446;448;465;466;467;468;469;470;471;472;473;474;475;476;477;478;479;480;481;482;483;484;485;486;487;488;489;490;491;492;493;494;495;496;497;498;501;502;503;504;505;506;507;508;509;510;511;512;514;515;516;518;520;522;524;526;528;529;530;531;532;533;534;535;536;538;540;542;544
;duration d;16;16;16;16;2;2;2;2;2;1;1;3;0,5;0,5;4;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;4;1;1;1;1;1;1;1;1;1;1;2;2;4;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;3;0,5;0,5;4;2;2;2;2;2;2;2;2;5;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;17;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;16
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;takt;1;2;3;;;;;;;;;;4;;;;;;;5;;;;;;;;;;;;;6;;;;;;;;;;;;7;;;;;;8;;;;;;;;;;;9;;;;;;10;;;;;;;11;;;;;;;;;;;;12;;;;;;;;;;;;;;13;;;;14;;;;;;;;15;;;;;;;;;;16;;;;;;;17;;;;;;;;;;;18;;;;;;19;;;;20;;;;;;;;;;;;21;;22;;;;;;;;23;;;;;;;24;;;;25;;;;;;;;;;26;;27;;;28;;;;;;;;;;29;;;;;;;30;;;;;;;31;;;;;;;32;;;;;;;;;;33;;;;;;34;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;pitch p;0;0;0;66;73;72;73;72;70;68;66;68;70;0;68;66;65;63;68;65;61;71;70;71;73;68;70;71;73;71;70;68;66;68;70;65;66;68;70;66;63;65;66;65;66;0;65;66;0;70;75;68;68;73;70;66;66;70;68;0;72;70;0;70;68;0;68;66;68;70;66;63;0;68;66;65;63;63;65;68;73;71;70;71;73;68;70;71;73;71;70;68;66;68;70;65;66;68;70;65;66;68;66;0;0;70;75;74;75;77;78;75;72;68;73;72;73;72;70;68;66;68;70;0;68;66;65;63;68;65;68;68;65;63;68;68;63;65;0;69;70;0;73;71;0;71;70;0;70;68;71;70;68;66;68;70;65;66;68;70;0;75;75;68;66;68;70;71;70;0;75;74;75;0;0;0;75;80;78;80;73;78;77;78;73;75;68;68;73;73;68;68;71;70;68;66;65;0;0;66;71;70;71;70;68;66;64;66;68;0;66;64;63;61;66;63;63;68;67;68;0;70;71;73;75;71;68;0;73;70;0;70;68;65;66;70;68;65;66;65;66;65;66;0;65;66;0;70;68;75;75;71;68;73;73;71;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
